"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2014","1,217.95","1,196.85","1,219.65","1,188.80","-","1.79%"
"Nov 09, 2014","1,209.10","1,216.80","1,216.85","1,208.10","-","-0.73%"
"Nov 10, 2014","1,202.45","1,209.15","1,221.10","1,194.25","-","-0.55%"
"Nov 11, 2014","1,201.20","1,202.35","1,211.80","1,191.50","-","-0.10%"
"Nov 12, 2014","1,199.65","1,201.40","1,211.30","1,197.65","-","-0.13%"
"Nov 13, 2014","1,196.30","1,199.80","1,206.80","1,193.05","-","-0.28%"
"Nov 14, 2014","1,213.70","1,196.20","1,216.55","1,178.10","-","1.45%"
"Nov 16, 2014","1,200.40","1,211.75","1,212.70","1,200.40","-","-1.10%"
"Nov 17, 2014","1,201.90","1,200.80","1,214.45","1,197.75","-","0.12%"
"Nov 18, 2014","1,203.50","1,201.85","1,216.20","1,198.75","-","0.13%"
"Nov 19, 2014","1,189.45","1,203.45","1,209.65","1,181.60","-","-1.17%"
"Nov 20, 2014","1,206.70","1,189.05","1,213.65","1,182.35","-","1.45%"
"Nov 21, 2014","1,227.10","1,206.75","1,234.60","1,206.40","-","1.69%"
"Nov 23, 2014","1,223.40","1,225.95","1,226.45","1,223.10","-","-0.30%"
"Nov 24, 2014","1,207.85","1,223.45","1,228.85","1,200.65","-","-1.27%"
"Nov 25, 2014","1,222.95","1,207.80","1,226.35","1,205.30","-","1.25%"
"Nov 26, 2014","1,229.00","1,222.85","1,230.35","1,219.05","-","0.49%"
"Nov 27, 2014","1,216.00","1,228.95","1,228.95","1,214.10","-","-1.06%"
"Nov 28, 2014","1,200.70","1,215.80","1,220.40","1,200.05","-","-1.26%"
"Nov 30, 2014","1,189.85","1,201.05","1,201.15","1,183.05","-","-0.90%"
"Dec 01, 2014","1,226.90","1,188.95","1,247.55","1,184.15","-","3.11%"
"Dec 02, 2014","1,217.80","1,227.40","1,233.25","1,212.70","-","-0.74%"
"Dec 03, 2014","1,224.50","1,217.70","1,233.75","1,213.10","-","0.55%"
"Dec 04, 2014","1,235.85","1,224.60","1,246.30","1,223.30","-","0.93%"
"Dec 05, 2014","1,224.00","1,235.80","1,240.25","1,219.25","-","-0.96%"
"Dec 07, 2014","1,222.55","1,224.00","1,224.10","1,220.00","-","-0.12%"
"Dec 08, 2014","1,232.50","1,222.15","1,237.85","1,220.75","-","0.81%"
"Dec 09, 2014","1,248.10","1,231.95","1,256.25","1,223.35","-","1.27%"
"Dec 10, 2014","1,246.50","1,248.05","1,254.60","1,239.15","-","-0.13%"
"Dec 11, 2014","1,241.35","1,246.35","1,252.60","1,231.60","-","-0.41%"
"Dec 12, 2014","1,230.00","1,241.05","1,244.60","1,225.85","-","-0.91%"
"Dec 14, 2014","1,229.60","1,230.00","1,231.75","1,228.00","-","-0.03%"
"Dec 15, 2014","1,212.95","1,229.75","1,231.60","1,207.30","-","-1.35%"
"Dec 16, 2014","1,202.70","1,212.75","1,227.45","1,195.05","-","-0.85%"
"Dec 17, 2014","1,195.15","1,202.85","1,206.55","1,189.70","-","-0.63%"
"Dec 18, 2014","1,199.10","1,195.45","1,214.85","1,194.10","-","0.33%"
"Dec 19, 2014","1,196.80","1,198.25","1,203.70","1,195.40","-","-0.19%"
"Dec 21, 2014","1,197.00","1,196.80","1,198.05","1,195.35","-","0.02%"
"Dec 22, 2014","1,179.90","1,196.95","1,203.20","1,176.00","-","-1.43%"
"Dec 23, 2014","1,192.85","1,179.80","1,194.20","1,179.60","-","1.10%"
"Dec 24, 2014","1,190.15","1,192.45","1,193.45","1,185.80","-","-0.23%"
"Dec 25, 2014","1,192.90","1,190.15","1,192.90","1,190.15","-","0.23%"
"Dec 26, 2014","1,216.15","1,192.75","1,219.40","1,192.00","-","1.95%"
"Dec 28, 2014","1,214.60","1,217.85","1,218.15","1,214.60","-","-0.13%"
"Dec 29, 2014","1,203.60","1,214.55","1,220.95","1,195.20","-","-0.91%"
"Dec 30, 2014","1,217.90","1,203.95","1,223.90","1,201.65","-","1.19%"
"Dec 31, 2014","1,209.15","1,217.85","1,220.45","1,203.75","-","-0.72%"
"Jan 01, 2015","1,213.40","1,209.50","1,213.70","1,209.10","-","0.35%"
"Jan 02, 2015","1,203.20","1,213.65","1,215.60","1,187.90","-","-0.84%"
"Jan 04, 2015","1,202.00","1,202.20","1,205.00","1,197.50","-","-0.10%"
"Jan 05, 2015","1,212.95","1,201.75","1,219.10","1,199.50","-","0.91%"
"Jan 06, 2015","1,219.65","1,212.90","1,228.90","1,209.30","-","0.55%"
"Jan 07, 2015","1,220.65","1,219.75","1,224.75","1,214.80","-","0.08%"
"Jan 08, 2015","1,220.30","1,220.35","1,227.75","1,216.00","-","-0.03%"
"Jan 09, 2015","1,233.75","1,220.20","1,233.95","1,219.80","-","1.10%"
"Jan 11, 2015","1,234.40","1,231.15","1,234.65","1,231.15","-","0.05%"
"Jan 12, 2015","1,239.25","1,234.45","1,246.40","1,227.25","-","0.39%"
"Jan 13, 2015","1,244.50","1,239.30","1,249.30","1,237.50","-","0.42%"
"Jan 14, 2015","1,235.20","1,244.55","1,248.65","1,227.65","-","-0.75%"
"Jan 15, 2015","1,259.90","1,235.15","1,267.05","1,230.40","-","2.00%"
"Jan 16, 2015","1,268.65","1,260.20","1,272.20","1,254.30","-","0.69%"
"Jan 18, 2015","1,265.30","1,271.70","1,273.20","1,265.30","-","-0.26%"
"Jan 19, 2015","1,263.40","1,265.45","1,270.95","1,261.90","-","-0.15%"
"Jan 20, 2015","1,278.55","1,263.45","1,288.85","1,261.75","-","1.20%"
"Jan 21, 2015","1,272.60","1,278.95","1,289.35","1,270.75","-","-0.47%"
"Jan 22, 2015","1,282.75","1,273.35","1,290.15","1,270.05","-","0.80%"
"Jan 23, 2015","1,269.10","1,282.95","1,283.05","1,265.70","-","-1.06%"
"Jan 25, 2015","1,275.05","1,271.00","1,275.10","1,266.55","-","0.47%"
"Jan 26, 2015","1,253.45","1,275.85","1,278.85","1,247.00","-","-1.69%"
"Jan 27, 2015","1,265.85","1,253.50","1,271.30","1,248.05","-","0.99%"
"Jan 28, 2015","1,256.80","1,265.90","1,267.60","1,252.45","-","-0.71%"
"Jan 29, 2015","1,227.25","1,256.85","1,257.65","1,212.65","-","-2.35%"
"Jan 30, 2015","1,240.90","1,226.60","1,243.85","1,217.70","-","1.11%"
"Feb 01, 2015","1,237.75","1,240.45","1,240.45","1,236.75","-","-0.25%"
"Feb 02, 2015","1,230.30","1,237.85","1,241.95","1,223.80","-","-0.60%"
"Feb 03, 2015","1,234.65","1,230.35","1,242.60","1,223.05","-","0.35%"
"Feb 04, 2015","1,244.60","1,234.60","1,247.60","1,231.65","-","0.81%"
"Feb 05, 2015","1,251.55","1,244.65","1,257.55","1,230.55","-","0.56%"
"Feb 06, 2015","1,223.85","1,250.75","1,258.55","1,220.15","-","-2.21%"
"Feb 08, 2015","1,228.60","1,225.45","1,228.90","1,224.40","-","0.39%"
"Feb 09, 2015","1,219.40","1,228.55","1,231.35","1,210.20","-","-0.75%"
"Feb 10, 2015","1,207.75","1,218.95","1,225.60","1,204.80","-","-0.96%"
"Feb 11, 2015","1,198.40","1,207.60","1,214.05","1,193.20","-","-0.77%"
"Feb 12, 2015","1,201.10","1,198.10","1,207.35","1,194.25","-","0.23%"
"Feb 13, 2015","1,208.15","1,200.85","1,214.90","1,196.75","-","0.59%"
"Feb 15, 2015","1,210.05","1,208.20","1,210.85","1,208.20","-","0.16%"
"Feb 16, 2015","1,208.40","1,210.40","1,217.55","1,204.35","-","-0.14%"
"Feb 17, 2015","1,181.75","1,208.25","1,210.10","1,168.75","-","-2.21%"
"Feb 18, 2015","1,173.35","1,181.80","1,183.35","1,163.10","-","-0.71%"
"Feb 19, 2015","1,172.30","1,173.25","1,184.75","1,164.15","-","-0.09%"
"Feb 20, 2015","1,164.45","1,172.25","1,175.15","1,156.65","-","-0.67%"
"Feb 22, 2015","1,165.25","1,166.70","1,166.70","1,163.55","-","0.07%"
"Feb 23, 2015","1,165.00","1,165.40","1,172.50","1,155.70","-","-0.02%"
"Feb 24, 2015","1,168.80","1,164.95","1,170.00","1,155.10","-","0.33%"
"Feb 25, 2015","1,174.15","1,167.05","1,177.25","1,164.15","-","0.46%"
"Feb 26, 2015","1,177.85","1,173.75","1,192.45","1,171.15","-","0.32%"
"Feb 27, 2015","1,188.70","1,177.75","1,191.45","1,167.15","-","0.92%"
"Mar 01, 2015","1,184.85","1,185.55","1,186.20","1,184.15","-","-0.32%"
"Mar 02, 2015","1,187.40","1,184.80","1,193.65","1,182.80","-","0.22%"
"Mar 03, 2015","1,186.45","1,187.15","1,196.80","1,177.55","-","-0.08%"
"Mar 04, 2015","1,183.70","1,186.25","1,188.05","1,175.35","-","-0.23%"
"Mar 05, 2015","1,181.55","1,183.60","1,192.45","1,178.10","-","-0.18%"
"Mar 06, 2015","1,160.60","1,181.15","1,183.15","1,156.85","-","-1.77%"
"Mar 08, 2015","1,158.60","1,161.15","1,161.60","1,158.60","-","-0.17%"
"Mar 09, 2015","1,147.50","1,158.30","1,159.00","1,146.40","-","-0.96%"
"Mar 10, 2015","1,130.55","1,147.60","1,148.90","1,128.25","-","-1.48%"
"Mar 11, 2015","1,121.40","1,130.25","1,136.75","1,113.80","-","-0.81%"
"Mar 12, 2015","1,117.55","1,122.00","1,131.70","1,112.45","-","-0.34%"
"Mar 13, 2015","1,117.05","1,117.65","1,124.35","1,113.25","-","-0.04%"
"Mar 15, 2015","1,116.65","1,118.60","1,119.10","1,114.15","-","-0.04%"
"Mar 16, 2015","1,108.15","1,116.70","1,121.40","1,105.05","-","-0.76%"
"Mar 17, 2015","1,094.45","1,107.75","1,109.35","1,087.10","-","-1.24%"
"Mar 18, 2015","1,125.05","1,093.75","1,125.30","1,087.65","-","2.80%"
"Mar 19, 2015","1,123.60","1,125.10","1,132.90","1,111.70","-","-0.13%"
"Mar 20, 2015","1,137.65","1,123.55","1,143.85","1,119.40","-","1.25%"
"Mar 22, 2015","1,140.55","1,137.25","1,140.75","1,134.95","-","0.25%"
"Mar 23, 2015","1,146.50","1,140.70","1,149.45","1,134.25","-","0.52%"
"Mar 24, 2015","1,138.85","1,146.65","1,147.60","1,132.45","-","-0.67%"
"Mar 25, 2015","1,143.20","1,138.75","1,151.45","1,135.15","-","0.38%"
"Mar 26, 2015","1,153.00","1,143.70","1,163.50","1,142.65","-","0.86%"
"Mar 27, 2015","1,138.95","1,152.90","1,153.90","1,137.60","-","-1.22%"
"Mar 29, 2015","1,138.65","1,140.70","1,141.05","1,136.40","-","-0.03%"
"Mar 30, 2015","1,119.90","1,138.60","1,138.80","1,114.85","-","-1.65%"
"Mar 31, 2015","1,139.55","1,120.10","1,144.60","1,115.35","-","1.75%"
"Apr 01, 2015","1,161.20","1,139.60","1,169.05","1,133.20","-","1.90%"
"Apr 02, 2015","1,155.50","1,161.65","1,165.85","1,150.60","-","-0.49%"
"Apr 05, 2015","1,174.85","1,162.60","1,174.90","1,162.45","-","1.67%"
"Apr 06, 2015","1,174.90","1,174.70","1,187.95","1,172.50","-","0.00%"
"Apr 07, 2015","1,170.05","1,174.75","1,175.85","1,165.10","-","-0.41%"
"Apr 08, 2015","1,164.30","1,170.60","1,177.95","1,161.30","-","-0.49%"
"Apr 09, 2015","1,156.55","1,163.85","1,166.90","1,155.50","-","-0.67%"
"Apr 10, 2015","1,173.60","1,156.80","1,177.65","1,156.45","-","1.47%"
"Apr 12, 2015","1,174.50","1,172.60","1,175.30","1,172.60","-","0.08%"
"Apr 13, 2015","1,155.15","1,174.55","1,175.10","1,149.20","-","-1.65%"
"Apr 14, 2015","1,153.25","1,155.10","1,160.65","1,141.35","-","-0.16%"
"Apr 15, 2015","1,164.25","1,153.30","1,164.75","1,147.10","-","0.95%"
"Apr 16, 2015","1,161.95","1,164.20","1,174.85","1,153.65","-","-0.20%"
"Apr 17, 2015","1,171.90","1,161.90","1,172.50","1,160.00","-","0.86%"
"Apr 19, 2015","1,173.25","1,170.75","1,174.25","1,170.75","-","0.12%"
"Apr 20, 2015","1,150.20","1,173.40","1,174.20","1,144.05","-","-1.96%"
"Apr 21, 2015","1,149.60","1,150.25","1,159.70","1,145.50","-","-0.05%"
"Apr 22, 2015","1,132.55","1,149.65","1,150.65","1,129.00","-","-1.48%"
"Apr 23, 2015","1,136.35","1,132.60","1,139.85","1,126.50","-","0.34%"
"Apr 24, 2015","1,123.85","1,136.25","1,138.20","1,118.60","-","-1.10%"
"Apr 26, 2015","1,124.00","1,126.30","1,126.30","1,123.75","-","0.01%"
"Apr 27, 2015","1,142.75","1,123.50","1,154.55","1,117.95","-","1.67%"
"Apr 28, 2015","1,155.80","1,142.75","1,160.95","1,140.60","-","1.14%"
"Apr 29, 2015","1,153.45","1,155.85","1,162.90","1,151.15","-","-0.20%"
"Apr 30, 2015","1,142.35","1,153.05","1,156.15","1,131.30","-","-0.96%"
"May 01, 2015","1,131.40","1,142.40","1,145.50","1,126.40","-","-0.96%"
"May 03, 2015","1,129.20","1,129.95","1,131.10","1,128.35","-","-0.19%"
"May 04, 2015","1,148.30","1,129.55","1,154.30","1,129.15","-","1.69%"
"May 05, 2015","1,148.40","1,148.25","1,157.35","1,142.60","-","0.01%"
"May 06, 2015","1,143.85","1,148.55","1,150.75","1,136.65","-","-0.40%"
"May 07, 2015","1,132.55","1,143.05","1,144.65","1,130.35","-","-0.99%"
"May 08, 2015","1,141.75","1,132.65","1,145.50","1,130.60","-","0.81%"
"May 10, 2015","1,142.05","1,142.05","1,143.40","1,140.95","-","0.03%"
"May 11, 2015","1,126.10","1,142.15","1,143.20","1,122.60","-","-1.40%"
"May 12, 2015","1,133.05","1,126.60","1,141.50","1,126.25","-","0.62%"
"May 13, 2015","1,147.50","1,132.50","1,153.05","1,130.10","-","1.28%"
"May 14, 2015","1,159.40","1,147.30","1,166.45","1,147.00","-","1.04%"
"May 15, 2015","1,168.70","1,159.35","1,172.80","1,150.90","-","0.80%"
"May 17, 2015","1,167.45","1,169.30","1,170.45","1,167.25","-","-0.11%"
"May 18, 2015","1,174.30","1,167.85","1,179.60","1,164.05","-","0.59%"
"May 19, 2015","1,153.80","1,174.25","1,174.30","1,147.85","-","-1.75%"
"May 20, 2015","1,156.10","1,153.65","1,160.55","1,148.20","-","0.20%"
"May 21, 2015","1,154.75","1,156.20","1,159.65","1,145.75","-","-0.12%"
"May 22, 2015","1,146.95","1,154.35","1,161.70","1,144.55","-","-0.68%"
"May 24, 2015","1,145.15","1,147.20","1,147.20","1,144.50","-","-0.16%"
"May 25, 2015","1,149.05","1,145.45","1,152.25","1,144.05","-","0.34%"
"May 26, 2015","1,126.50","1,149.10","1,149.90","1,123.20","-","-1.96%"
"May 27, 2015","1,119.75","1,126.45","1,131.05","1,115.65","-","-0.60%"
"May 28, 2015","1,118.15","1,119.75","1,127.35","1,108.95","-","-0.14%"
"May 29, 2015","1,112.40","1,118.25","1,119.80","1,111.05","-","-0.51%"
"May 31, 2015","1,111.55","1,112.70","1,113.95","1,110.55","-","-0.08%"
"Jun 01, 2015","1,104.35","1,111.45","1,123.95","1,102.90","-","-0.65%"
"Jun 02, 2015","1,113.35","1,104.40","1,114.80","1,101.35","-","0.81%"
"Jun 03, 2015","1,105.05","1,113.40","1,116.95","1,100.80","-","-0.75%"
"Jun 04, 2015","1,101.00","1,105.25","1,109.30","1,095.50","-","-0.37%"
"Jun 05, 2015","1,096.10","1,100.95","1,101.05","1,088.55","-","-0.45%"
"Jun 07, 2015","1,094.25","1,097.05","1,097.05","1,094.25","-","-0.17%"
"Jun 08, 2015","1,102.75","1,094.40","1,103.90","1,094.30","-","0.78%"
"Jun 09, 2015","1,109.10","1,102.95","1,114.90","1,102.45","-","0.58%"
"Jun 10, 2015","1,114.55","1,109.00","1,119.50","1,105.85","-","0.49%"
"Jun 11, 2015","1,107.65","1,114.70","1,117.10","1,101.65","-","-0.62%"
"Jun 12, 2015","1,095.00","1,107.55","1,107.65","1,094.35","-","-1.14%"
"Jun 14, 2015","1,097.65","1,098.05","1,099.25","1,095.30","-","0.24%"
"Jun 15, 2015","1,088.45","1,097.55","1,097.55","1,077.15","-","-0.84%"
"Jun 16, 2015","1,080.45","1,088.50","1,094.35","1,078.30","-","-0.73%"
"Jun 17, 2015","1,082.05","1,080.30","1,086.20","1,071.80","-","0.15%"
"Jun 18, 2015","1,084.45","1,081.95","1,096.10","1,079.30","-","0.22%"
"Jun 19, 2015","1,084.70","1,084.55","1,089.10","1,082.05","-","0.02%"
"Jun 21, 2015","1,082.75","1,085.05","1,085.85","1,082.25","-","-0.18%"
"Jun 22, 2015","1,063.30","1,082.95","1,083.85","1,058.80","-","-1.80%"
"Jun 23, 2015","1,069.00","1,063.35","1,075.15","1,061.05","-","0.54%"
"Jun 24, 2015","1,075.35","1,068.50","1,076.70","1,064.85","-","0.59%"
"Jun 25, 2015","1,084.00","1,075.05","1,087.25","1,072.25","-","0.80%"
"Jun 26, 2015","1,084.10","1,083.55","1,084.75","1,071.50","-","0.01%"
"Jun 28, 2015","1,081.45","1,083.20","1,096.65","1,081.45","-","-0.24%"
"Jun 29, 2015","1,082.55","1,081.60","1,086.45","1,068.50","-","0.10%"
"Jun 30, 2015","1,079.35","1,082.65","1,087.15","1,075.70","-","-0.30%"
"Jul 01, 2015","1,083.55","1,076.70","1,090.90","1,076.70","-","0.39%"
"Jul 02, 2015","1,084.55","1,083.50","1,087.50","1,075.05","-","0.09%"
"Jul 03, 2015","1,084.05","1,083.55","1,087.40","1,082.15","-","-0.05%"
"Jul 05, 2015","1,080.85","1,088.85","1,088.90","1,080.20","-","-0.30%"
"Jul 06, 2015","1,064.40","1,080.75","1,081.45","1,049.10","-","-1.52%"
"Jul 07, 2015","1,032.45","1,064.10","1,069.65","1,027.55","-","-3.00%"
"Jul 08, 2015","1,025.60","1,032.55","1,038.70","1,010.95","-","-0.66%"
"Jul 09, 2015","1,022.65","1,025.40","1,041.25","1,021.10","-","-0.29%"
"Jul 10, 2015","1,033.15","1,022.55","1,039.40","1,022.20","-","1.03%"
"Jul 12, 2015","1,032.05","1,031.55","1,035.85","1,031.20","-","-0.11%"
"Jul 13, 2015","1,034.15","1,031.65","1,037.85","1,021.25","-","0.20%"
"Jul 14, 2015","1,028.20","1,034.60","1,036.55","1,025.90","-","-0.58%"
"Jul 15, 2015","1,021.20","1,028.15","1,031.75","1,014.75","-","-0.68%"
"Jul 16, 2015","1,009.75","1,021.50","1,021.50","1,006.30","-","-1.12%"
"Jul 17, 2015","994.05","1,009.80","1,010.05","993.60","-","-1.55%"
"Jul 19, 2015","996.25","995.55","996.75","993.05","-","0.22%"
"Jul 20, 2015","973.40","996.45","997.10","947.35","-","-2.29%"
"Jul 21, 2015","974.85","973.80","993.45","966.40","-","0.15%"
"Jul 22, 2015","984.75","974.75","985.70","961.95","-","1.02%"
"Jul 23, 2015","981.80","984.50","999.50","974.10","-","-0.30%"
"Jul 24, 2015","988.15","981.55","990.45","969.30","-","0.65%"
"Jul 26, 2015","988.45","987.55","988.90","984.15","-","0.03%"
"Jul 27, 2015","982.95","988.55","992.55","976.00","-","-0.56%"
"Jul 28, 2015","984.40","983.05","987.15","976.95","-","0.15%"
"Jul 29, 2015","988.45","984.45","989.90","977.70","-","0.41%"
"Jul 30, 2015","991.80","988.25","994.35","978.65","-","0.34%"
"Jul 31, 2015","984.15","991.80","995.80","973.75","-","-0.77%"
"Aug 02, 2015","985.05","983.40","986.45","982.70","-","0.09%"
"Aug 03, 2015","956.35","985.25","985.75","956.35","-","-2.91%"
"Aug 04, 2015","951.10","956.40","961.45","945.45","-","-0.55%"
"Aug 05, 2015","950.05","950.95","956.10","947.25","-","-0.11%"
"Aug 06, 2015","952.80","950.10","957.80","946.35","-","0.29%"
"Aug 07, 2015","963.10","952.90","966.45","946.45","-","1.08%"
"Aug 09, 2015","957.75","961.80","962.05","957.75","-","-0.56%"
"Aug 10, 2015","986.60","958.25","991.75","956.70","-","3.01%"
"Aug 11, 2015","987.80","986.65","1,001.75","975.25","-","0.12%"
"Aug 12, 2015","1,000.65","988.45","1,006.90","978.90","-","1.30%"
"Aug 13, 2015","991.15","1,001.05","1,003.10","988.20","-","-0.95%"
"Aug 14, 2015","992.75","991.25","1,003.60","987.15","-","0.16%"
"Aug 16, 2015","993.45","991.90","994.65","991.20","-","0.07%"
"Aug 17, 2015","998.80","993.35","1,001.30","989.60","-","0.54%"
"Aug 18, 2015","994.95","998.50","1,001.35","981.05","-","-0.39%"
"Aug 19, 2015","1,012.50","995.00","1,016.80","988.50","-","1.76%"
"Aug 20, 2015","1,032.90","1,012.55","1,035.80","1,012.55","-","2.01%"
"Aug 21, 2015","1,019.80","1,032.75","1,038.30","1,016.55","-","-1.27%"
"Aug 23, 2015","1,023.95","1,024.40","1,029.00","1,021.70","-","0.41%"
"Aug 24, 2015","973.35","1,024.35","1,024.35","973.20","-","-4.94%"
"Aug 25, 2015","982.40","973.25","1,002.15","970.80","-","0.93%"
"Aug 26, 2015","984.90","982.35","987.50","970.50","-","0.25%"
"Aug 27, 2015","1,009.10","984.70","1,009.20","984.70","-","2.46%"
"Aug 28, 2015","1,018.60","1,008.80","1,026.30","998.90","-","0.94%"
"Aug 30, 2015","1,012.55","1,016.90","1,017.30","1,012.55","-","-0.59%"
"Aug 31, 2015","1,007.35","1,012.65","1,014.40","999.55","-","-0.51%"
"Sep 01, 2015","1,007.00","1,007.45","1,017.55","998.80","-","-0.03%"
"Sep 02, 2015","1,014.50","1,006.85","1,017.80","1,001.20","-","0.74%"
"Sep 03, 2015","1,009.90","1,014.45","1,023.90","1,002.95","-","-0.45%"
"Sep 04, 2015","991.10","1,010.00","1,010.90","990.45","-","-1.86%"
"Sep 06, 2015","990.70","992.45","994.35","990.65","-","-0.04%"
"Sep 07, 2015","990.15","988.95","995.60","980.40","-","-0.06%"
"Sep 08, 2015","1,005.65","989.85","1,011.80","987.15","-","1.57%"
"Sep 09, 2015","983.70","1,005.75","1,011.05","980.15","-","-2.18%"
"Sep 10, 2015","982.80","983.65","992.70","977.45","-","-0.09%"
"Sep 11, 2015","970.95","982.80","986.60","959.50","-","-1.21%"
"Sep 13, 2015","968.70","966.80","969.70","966.35","-","-0.23%"
"Sep 14, 2015","957.35","968.50","973.85","952.15","-","-1.17%"
"Sep 15, 2015","962.45","957.45","964.40","949.50","-","0.53%"
"Sep 16, 2015","973.25","962.65","976.75","956.50","-","1.12%"
"Sep 17, 2015","978.20","973.50","988.55","961.00","-","0.51%"
"Sep 18, 2015","982.45","978.10","991.00","972.80","-","0.43%"
"Sep 20, 2015","981.65","982.40","982.90","970.65","-","-0.08%"
"Sep 21, 2015","971.75","981.65","984.65","969.75","-","-1.01%"
"Sep 22, 2015","936.30","971.70","973.80","935.50","-","-3.65%"
"Sep 23, 2015","945.95","936.25","946.80","928.10","-","1.03%"
"Sep 24, 2015","948.95","945.75","959.65","932.30","-","0.32%"
"Sep 25, 2015","948.25","948.90","954.75","944.20","-","-0.07%"
"Sep 27, 2015","949.30","948.65","951.60","948.20","-","0.11%"
"Sep 28, 2015","917.20","949.25","949.70","916.35","-","-3.38%"
"Sep 29, 2015","915.65","917.10","921.80","899.95","-","-0.17%"
"Sep 30, 2015","907.75","915.75","928.40","906.75","-","-0.86%"
"Oct 01, 2015","907.20","907.95","918.20","901.45","-","-0.06%"
"Oct 02, 2015","910.75","907.15","915.55","893.45","-","0.39%"
"Oct 04, 2015","915.25","911.15","915.40","910.70","-","0.49%"
"Oct 05, 2015","917.10","915.70","927.20","907.50","-","0.20%"
"Oct 06, 2015","937.45","917.05","943.75","913.70","-","2.22%"
"Oct 07, 2015","947.25","937.50","955.30","936.95","-","1.05%"
"Oct 08, 2015","952.20","947.20","958.60","933.55","-","0.52%"
"Oct 09, 2015","983.40","952.30","986.75","951.30","-","3.28%"
"Oct 11, 2015","978.55","982.00","983.45","978.30","-","-0.49%"
"Oct 12, 2015","989.55","978.30","1,003.15","978.25","-","1.12%"
"Oct 13, 2015","989.10","989.50","999.25","979.25","-","-0.05%"
"Oct 14, 2015","1,000.30","989.15","1,001.80","985.85","-","1.13%"
"Oct 15, 2015","1,006.30","1,000.30","1,008.05","987.35","-","0.60%"
"Oct 16, 2015","1,015.55","1,006.35","1,026.60","996.45","-","0.92%"
"Oct 18, 2015","1,017.60","1,017.90","1,017.90","1,015.25","-","0.20%"
"Oct 19, 2015","1,013.95","1,017.25","1,021.50","1,010.40","-","-0.36%"
"Oct 20, 2015","1,020.70","1,013.75","1,024.65","1,007.05","-","0.67%"
"Oct 21, 2015","1,004.40","1,020.75","1,024.65","1,002.35","-","-1.60%"
"Oct 22, 2015","1,011.25","1,004.20","1,013.65","1,000.45","-","0.68%"
"Oct 23, 2015","1,002.60","1,011.20","1,020.80","996.55","-","-0.86%"
"Oct 25, 2015","1,003.40","1,002.35","1,003.65","1,001.80","-","0.08%"
"Oct 26, 2015","997.55","1,003.35","1,004.70","987.90","-","-0.58%"
"Oct 27, 2015","986.65","997.55","997.95","983.70","-","-1.09%"
"Oct 28, 2015","1,000.65","986.70","1,014.95","986.45","-","1.42%"
"Oct 29, 2015","992.65","1,000.65","1,003.60","990.60","-","-0.80%"
"Oct 30, 2015","987.35","992.65","1,000.40","986.15","-","-0.53%"
"Nov 01, 2015","985.85","985.55","986.50","984.85","-","-0.15%"
"Nov 02, 2015","977.15","986.10","986.30","971.40","-","-0.88%"
"Nov 03, 2015","965.85","976.80","984.60","960.25","-","-1.16%"
"Nov 04, 2015","958.10","966.25","977.05","953.20","-","-0.80%"
"Nov 05, 2015","952.90","958.15","960.70","950.75","-","-0.54%"
"Nov 06, 2015","942.35","953.30","961.50","938.10","-","-1.11%"
"Nov 08, 2015","940.95","941.55","942.55","939.80","-","-0.15%"
"Nov 09, 2015","917.55","941.05","943.30","910.65","-","-2.49%"
"Nov 10, 2015","903.15","917.40","919.25","897.70","-","-1.57%"
"Nov 11, 2015","884.05","903.10","907.85","880.95","-","-2.11%"
"Nov 12, 2015","881.95","884.00","888.75","874.50","-","-0.24%"
"Nov 13, 2015","861.70","881.95","884.50","860.60","-","-2.30%"
"Nov 15, 2015","863.75","865.10","868.95","863.35","-","0.24%"
"Nov 16, 2015","867.85","863.65","875.60","858.30","-","0.47%"
"Nov 17, 2015","854.75","867.80","874.60","850.75","-","-1.51%"
"Nov 18, 2015","852.50","854.75","855.15","846.30","-","-0.26%"
"Nov 19, 2015","858.25","852.45","865.00","849.30","-","0.67%"
"Nov 20, 2015","855.40","858.20","869.55","853.40","-","-0.33%"
"Nov 22, 2015","857.00","855.45","857.35","854.65","-","0.19%"
"Nov 23, 2015","849.40","857.15","857.65","844.65","-","-0.89%"
"Nov 24, 2015","842.75","849.35","851.90","837.00","-","-0.78%"
"Nov 25, 2015","846.20","842.60","849.35","833.45","-","0.41%"
"Nov 26, 2015","854.75","846.35","856.60","843.15","-","1.01%"
"Nov 27, 2015","836.45","854.70","857.50","833.95","-","-2.14%"
"Nov 29, 2015","833.75","834.75","838.80","832.80","-","-0.32%"
"Nov 30, 2015","832.20","833.15","835.70","826.10","-","-0.19%"
"Dec 01, 2015","841.60","832.70","846.45","831.85","-","1.13%"
"Dec 02, 2015","834.20","841.70","852.95","829.70","-","-0.88%"
"Dec 03, 2015","849.95","833.85","849.95","825.50","-","1.89%"
"Dec 04, 2015","880.20","850.10","887.95","845.15","-","3.56%"
"Dec 06, 2015","877.45","881.55","883.50","873.70","-","-0.31%"
"Dec 07, 2015","858.65","877.75","887.65","852.50","-","-2.14%"
"Dec 08, 2015","851.35","857.65","863.90","845.70","-","-0.85%"
"Dec 09, 2015","856.65","851.10","866.85","847.60","-","0.62%"
